review_score,review_count,price,address,image,star,Pool,No_smoking_room,Families_room,Room_service,Free_parking,Breakfast,24h_front_desk,Airport_shuttle,Staff,Facilities,Cleanliness,Comfort,Affordable,Location,Wifi
9.2,156,615600,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/385468832.jpg?k=c71c58127811971148e2236f725ebb3f9abe981c9261d56876916995b4d87589&o=,3,1,0,1,0,1,0,0,0,9.6,9.2,9.4,9.4,9.4,9.1,9.2
8.4,604,617261,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/495486923.jpg?k=70846b5b41b372d6b85331551d8981a2033549b51daf901db1d4e950e8caece2&o=,3,1,1,1,1,1,0,1,0,9.2,8.4,8.4,8.4,8.6,8.6,8.5
10.0,5,641301,Quận 10,https://cf.bstatic.com/xdata/images/hotel/square200/514013267.jpg?k=323a21ce98ae339bf458afb6bb7c681a7703fff94b3033dcb67f07310e1bdcc8&o=,3,1,0,1,0,0,0,1,1,10.0,10.0,10.0,10.0,10.0,10.0,
8.9,161,662071,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/384531923.jpg?k=3fe7a35482a6035624fae7501beaeaab8e9be429f2f85c77e57d2e11b95eee15&o=,3,1,0,1,1,1,0,1,0,9.0,8.9,9.2,9.1,9.0,8.8,8.3
8.4,9,670000,Quận Gò Vấp,https://cf.bstatic.com/xdata/images/hotel/square200/504112168.jpg?k=74e227e90fc6359eaf2de4e5e7900fb7dad7844b94f976c7cd435c0199082a96&o=,3,1,0,1,1,1,0,1,0,7.3,6.5,6.5,7.2,6.7,6.5,
8.8,126,684000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/462038408.jpg?k=a442e558be475574ba1babe8687eb29685cad325f5816c08d177aaa48f5f176b&o=,3,1,0,0,1,1,0,0,0,9.4,8.5,8.7,8.8,9.0,9.6,10.0
8.3,26,693000,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/230589083.jpg?k=c2bf5239f40eff19ae1fc5bfd590b7e7c4e8694e71c098919b14f9522cfb410d&o=,3,1,1,1,0,1,0,0,1,8.3,8.4,8.3,8.3,8.3,8.8,10.0
9.2,30,700000,Quận 2,https://cf.bstatic.com/xdata/images/hotel/square200/500474636.jpg?k=f1ec34326237a5885290e3d465adda7e432eec3a79f7dcbd46c19cfa91e75e1d&o=,3,1,0,1,1,1,0,0,0,9.7,9.5,9.4,9.4,9.4,9.0,10.0
9.1,15,716040,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square200/484825634.jpg?k=75b680dc1b745497a45366007fdbf50d421b14fd4e52a0ba85a3a0be635a474b&o=,3,1,1,1,0,1,0,0,0,9.3,9.0,9.5,9.6,9.3,9.5,10.0
8.8,114,800000,Quận 3,https://cf.bstatic.com/xdata/images/hotel/square200/255632892.jpg?k=64b4442d28e5f23ba66e5222c46fb012515d30854588e8368bc804a6c37c6acb&o=,3,1,1,1,1,1,0,1,1,8.9,8.8,9.1,9.1,9.0,9.4,9.6
9.7,7,830000,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/475645889.jpg?k=94c9236ab77958e55c8f98fd1be3e85ef7576d978571d4456a43a90882615ff9&o=,3,1,0,0,1,1,1,1,1,10.0,10.0,10.0,9.8,9.8,9.2,
8.6,40,848000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/294394553.jpg?k=d75e090a9c53a95d36e14d3b2665e59c1b0abc1d4e2012a4a4ebafc70a4bd678&o=,3,1,0,1,1,1,0,1,1,9.5,8.4,8.8,8.9,8.8,9.5,10.0
8.1,24,850000,Quận 3,https://cf.bstatic.com/xdata/images/hotel/square200/449517528.jpg?k=6ca17dfabebc1a0cd133f5943bddeb511162c67c77f97cf82dd99730f2f11ac4&o=,3,1,1,1,1,1,0,1,1,8.4,8.2,8.2,8.6,8.8,9.1,5.0
9.5,401,880000,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square200/387443774.jpg?k=1ca17748dac2abc06bff204bf8ad4f3890e805d031ae173f074a5cc986f215c5&o=,3,0,1,1,1,1,0,0,1,9.7,9.5,9.5,9.6,9.5,9.6,9.9
7.7,245,1077663,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/30946527.jpg?k=d668ff092324465027290620638d3188b15d6f77ad2a45dd181d5c2a225d75ea&o=,3,0,1,1,0,0,1,0,1,8.2,7.7,8.0,8.0,7.8,8.2,8.5
8.7,92,823001,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square200/384607328.jpg?k=182f514ff9fd18737323161a81477e334c84699f7b9f335ed0d9b2b379f0cc7f&o=,3,1,1,1,0,1,0,1,1,9.0,8.8,8.6,8.7,8.5,9.2,9.7
7.7,100,917477,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/481542218.jpg?k=881a59c7f5f7877215d0a31173d0b2ecfe8e2c8b3428a0ebda71107d0e56c1d1&o=,3,0,1,1,1,1,1,1,1,8.4,7.8,8.1,8.4,8.2,8.3,8.3
9.7,33,1013816,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/517919483.jpg?k=3cd4b4092b2fe36e64b4171043adbf0c7ab994f273857b0f032fd32a091d0c2a&o=,3,1,0,1,1,1,0,0,0,9.5,9.6,9.7,9.7,9.7,9.7,
8.4,42,1026000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square200/288295284.jpg?k=9e57f4b87ad8f6884a7ef00e5f09a781070ee2225b466cdc0bef685b021d415a&o=,3,0,0,1,0,0,1,1,1,8.3,8.7,8.5,8.4,8.3,9.0,7.5
9.7,33,1035000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/536767007.jpg?k=f7f56b425a9648c557cf575051c958bab516272eaf66300c201db4c142a98f9c&o=,3,1,0,1,1,1,0,1,1,9.7,9.6,9.7,9.7,9.8,9.8,10.0
7.6,829,1041118,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/220047461.jpg?k=aa4b7abcb0e09c94dda1463e75027e2ec8cdd246f52b81062dfcb61a6a48d962&o=,3,1,1,1,1,0,1,1,0,8.4,7.4,7.6,7.8,8.0,9.2,7.5
9.1,618,1071000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/225833945.jpg?k=ccf6824e8a7c3fb92d21a3cde6b166a2a6aff39883909a4e3379caf6c3f3a461&o=,3,1,0,1,0,1,0,0,0,9.2,9.2,9.2,9.3,9.3,9.5,9.0
9.4,65,1072500,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square200/501700519.jpg?k=ff10c828d1c91ee64e9934baa74f6e082675297a5a4390c5671d00aed2c9f8a7&o=,3,1,1,1,0,1,0,0,0,9.6,9.6,9.6,9.6,9.6,9.4,10.0
9.1,109,1100000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square200/409950206.jpg?k=632a8977f0a95846703bb2163e1b03543118542091c1aeacf77f60131d54311d&o=,3,1,0,0,0,1,0,1,0,9.1,9.1,9.1,9.2,9.1,9.5,9.2
9.4,35,1100000,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/500466751.jpg?k=6f4f32f9dba302fb318718bbca39092f83b51040a016d221d8410d3393c65dbc&o=,3,1,0,1,0,1,0,1,0,9.6,9.1,9.1,9.6,9.4,9.4,8.8
9.0,36,1128125,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square200/364538215.jpg?k=749a15fc3811b5567d24833e13a059f08fcd73b37096f678defbd5856f77e656&o=,3,0,1,1,1,1,0,0,0,9.5,8.9,9.1,9.2,9.3,8.9,
8.5,247,1139050,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square200/476762277.jpg?k=53fe1570f791471c5523bc9bd270390052bdfe86cfb1b1c3bf7bed4f9cd4432e&o=,3,0,0,0,0,0,0,0,0,,,,,,,
8.7,158,1140000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square200/461372244.jpg?k=0ae71e16691e33f758d5cbe610bfa0426cb1401533f799511991b5cde4a67911&o=,3,0,0,0,1,1,0,1,1,9.1,8.7,8.9,8.8,8.9,9.4,9.4
9.9,51,1148000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square200/492236805.jpg?k=a34f251c3285f7cba765c6557198d8c637602a4b4871d98bee61b2a849fd98dc&o=,3,0,0,1,1,0,0,0,0,9.9,9.7,9.8,9.9,9.8,9.7,
9.4,189,1150000,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square200/426161385.jpg?k=178b5f9317e5cfd359867e6fd5438badcedb14c5c69efa429b67b7fa2b5522b5&o=,3,0,1,1,0,1,0,0,1,9.5,9.4,9.4,9.4,9.3,9.5,9.8
7.9,29,300000,Quận Gò Vấp,https://cf.bstatic.com/xdata/images/hotel/square200/487282095.jpg?k=a364d46944c06b7cf7cc81d60d19f440b032a16a8aba8aee412755de9d8ab1d5&o=,3,0,0,0,0,0,0,0,0,,,,,,,
8.3,115,385250,Quận 9,https://cf.bstatic.com/xdata/images/hotel/square200/453991730.jpg?k=75d87ef496b1c49a086467ca386a5cd1377e47d0f204ac6e4a5aeddc98ac9cd5&o=,3,1,1,1,0,1,0,1,0,9.1,8.1,8.5,8.6,8.5,7.9,8.8
9.0,373,406169,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/377386967.jpg?k=add771eede5fa40484ccf7bb3db974d1aee7cfb3c38847aa0da53ba103a3cd76&o=,3,1,1,1,1,1,0,0,1,9.3,9.1,9.2,9.2,9.1,9.3,9.8
4.3,12,453739,TP. Hồ Chí Minh,https://cf.bstatic.com/xdata/images/hotel/square200/493270508.jpg?k=3b8fd9883275153ae2eb8cd3b7644838339f09c9ad884aa65d292bc3af63627b&o=,3,1,1,1,0,1,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,
5.7,278,503714,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/442864347.jpg?k=d65a32171b4834d1afc01ed5bc6688459939eed4d6e0de97788b38e4ccb78db1&o=,3,1,1,1,1,1,1,1,0,6.5,6.2,6.3,6.4,6.7,6.4,
7.2,56,513291,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/520392015.jpg?k=4722a59104635e1e3314f6d420dcb0747855b7f0e00ede088bcf7ea741a80401&o=,3,1,1,1,1,1,0,1,1,8.4,7.2,7.7,7.4,7.5,8.2,6.3
9.2,156,615600,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/385468832.jpg?k=c71c58127811971148e2236f725ebb3f9abe981c9261d56876916995b4d87589&o=,3,1,0,1,0,1,0,0,0,9.6,9.2,9.4,9.4,9.4,9.1,9.2
8.4,604,617261,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/495486923.jpg?k=70846b5b41b372d6b85331551d8981a2033549b51daf901db1d4e950e8caece2&o=,3,1,1,1,1,1,0,1,0,9.2,8.4,8.4,8.4,8.6,8.6,8.5
10.0,5,641301,Quận 10,https://cf.bstatic.com/xdata/images/hotel/square200/514013267.jpg?k=323a21ce98ae339bf458afb6bb7c681a7703fff94b3033dcb67f07310e1bdcc8&o=,3,1,0,1,0,0,0,1,1,10.0,10.0,10.0,10.0,10.0,10.0,
8.9,161,662071,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/384531923.jpg?k=3fe7a35482a6035624fae7501beaeaab8e9be429f2f85c77e57d2e11b95eee15&o=,3,1,0,1,1,1,0,1,0,9.0,8.9,9.2,9.1,9.0,8.8,8.3
8.4,9,670000,Quận Gò Vấp,https://cf.bstatic.com/xdata/images/hotel/square200/504112168.jpg?k=74e227e90fc6359eaf2de4e5e7900fb7dad7844b94f976c7cd435c0199082a96&o=,3,1,0,1,1,1,0,1,0,7.3,6.5,6.5,7.2,6.7,6.5,
8.8,126,684000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/462038408.jpg?k=a442e558be475574ba1babe8687eb29685cad325f5816c08d177aaa48f5f176b&o=,3,1,0,0,1,1,0,0,0,9.4,8.5,8.7,8.8,9.0,9.6,10.0
8.3,26,693000,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/230589083.jpg?k=c2bf5239f40eff19ae1fc5bfd590b7e7c4e8694e71c098919b14f9522cfb410d&o=,3,1,1,1,0,1,0,0,1,8.3,8.4,8.3,8.3,8.3,8.8,10.0
9.2,30,700000,Quận 2,https://cf.bstatic.com/xdata/images/hotel/square200/500474636.jpg?k=f1ec34326237a5885290e3d465adda7e432eec3a79f7dcbd46c19cfa91e75e1d&o=,3,1,0,1,1,1,0,0,0,9.7,9.5,9.4,9.4,9.4,9.0,10.0
9.1,15,716040,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square200/484825634.jpg?k=75b680dc1b745497a45366007fdbf50d421b14fd4e52a0ba85a3a0be635a474b&o=,3,1,1,1,0,1,0,0,0,9.3,9.0,9.5,9.6,9.3,9.5,10.0
8.8,114,800000,Quận 3,https://cf.bstatic.com/xdata/images/hotel/square200/255632892.jpg?k=64b4442d28e5f23ba66e5222c46fb012515d30854588e8368bc804a6c37c6acb&o=,3,1,1,1,1,1,0,1,1,8.9,8.8,9.1,9.1,9.0,9.4,9.6
9.7,7,830000,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square200/475645889.jpg?k=94c9236ab77958e55c8f98fd1be3e85ef7576d978571d4456a43a90882615ff9&o=,3,1,0,0,1,1,1,1,1,10.0,10.0,10.0,9.8,9.8,9.2,
8.6,40,848000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square200/294394553.jpg?k=d75e090a9c53a95d36e14d3b2665e59c1b0abc1d4e2012a4a4ebafc70a4bd678&o=,3,1,0,1,1,1,0,1,1,9.5,8.4,8.8,8.9,8.8,9.5,10.0
8.1,24,850000,Quận 3,https://cf.bstatic.com/xdata/images/hotel/square200/449517528.jpg?k=6ca17dfabebc1a0cd133f5943bddeb511162c67c77f97cf82dd99730f2f11ac4&o=,3,1,1,1,1,1,0,1,1,8.4,8.2,8.2,8.6,8.8,9.1,5.0
9.5,401,880000,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square200/387443774.jpg?k=1ca17748dac2abc06bff204bf8ad4f3890e805d031ae173f074a5cc986f215c5&o=,3,0,1,1,1,1,0,0,1,9.7,9.5,9.5,9.6,9.5,9.6,9.9
7.7,245,1077663,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square200/30946527.jpg?k=d668ff092324465027290620638d3188b15d6f77ad2a45dd181d5c2a225d75ea&o=,3,0,1,1,0,0,1,0,1,8.2,7.7,8.0,8.0,7.8,8.2,8.5
8.7,92,823001,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square240/384607328.jpg?k=182f514ff9fd18737323161a81477e334c84699f7b9f335ed0d9b2b379f0cc7f&o=,3,1,1,1,0,1,0,1,1,9.0,8.8,8.6,8.7,8.5,9.2,9.7
7.7,100,917477,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square240/481542218.jpg?k=881a59c7f5f7877215d0a31173d0b2ecfe8e2c8b3428a0ebda71107d0e56c1d1&o=,3,0,1,1,1,1,1,1,1,8.4,7.8,8.1,8.4,8.2,8.3,8.3
9.7,33,1013816,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square240/517919483.jpg?k=3cd4b4092b2fe36e64b4171043adbf0c7ab994f273857b0f032fd32a091d0c2a&o=,3,1,0,1,1,1,0,0,0,9.5,9.6,9.7,9.7,9.7,9.7,
8.4,42,1026000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square240/288295284.jpg?k=9e57f4b87ad8f6884a7ef00e5f09a781070ee2225b466cdc0bef685b021d415a&o=,3,0,0,1,0,0,1,1,1,8.3,8.7,8.5,8.4,8.3,9.0,7.5
9.7,33,1035000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/536767007.jpg?k=f7f56b425a9648c557cf575051c958bab516272eaf66300c201db4c142a98f9c&o=,3,1,0,1,1,1,0,1,1,9.7,9.6,9.7,9.7,9.8,9.8,10.0
7.6,829,1041118,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/220047461.jpg?k=aa4b7abcb0e09c94dda1463e75027e2ec8cdd246f52b81062dfcb61a6a48d962&o=,3,1,1,1,1,0,1,1,0,8.4,7.4,7.6,7.8,8.0,9.2,7.5
9.1,618,1071000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/225833945.jpg?k=ccf6824e8a7c3fb92d21a3cde6b166a2a6aff39883909a4e3379caf6c3f3a461&o=,3,1,0,1,0,1,0,0,0,9.2,9.2,9.2,9.3,9.3,9.5,9.0
9.4,65,1072500,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square240/501700519.jpg?k=ff10c828d1c91ee64e9934baa74f6e082675297a5a4390c5671d00aed2c9f8a7&o=,3,1,1,1,0,1,0,0,0,9.6,9.6,9.6,9.6,9.6,9.4,10.0
9.4,35,1100000,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square240/500466751.jpg?k=6f4f32f9dba302fb318718bbca39092f83b51040a016d221d8410d3393c65dbc&o=,3,1,0,1,0,1,0,1,0,9.6,9.1,9.1,9.6,9.4,9.4,8.8
9.1,109,1100000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square240/409950206.jpg?k=632a8977f0a95846703bb2163e1b03543118542091c1aeacf77f60131d54311d&o=,3,1,0,0,0,1,0,1,0,9.1,9.1,9.1,9.2,9.1,9.5,9.2
9.0,36,1128125,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square240/364538215.jpg?k=749a15fc3811b5567d24833e13a059f08fcd73b37096f678defbd5856f77e656&o=,3,0,1,1,1,1,0,0,0,9.5,8.9,9.1,9.2,9.3,8.9,
8.5,247,1139050,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square240/476762277.jpg?k=53fe1570f791471c5523bc9bd270390052bdfe86cfb1b1c3bf7bed4f9cd4432e&o=,3,0,0,0,0,0,0,0,0,,,,,,,
8.7,158,1140000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square240/461372244.jpg?k=0ae71e16691e33f758d5cbe610bfa0426cb1401533f799511991b5cde4a67911&o=,3,0,0,0,1,1,0,1,1,9.1,8.7,8.9,8.8,8.9,9.4,9.4
9.9,51,1148000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square240/492236805.jpg?k=a34f251c3285f7cba765c6557198d8c637602a4b4871d98bee61b2a849fd98dc&o=,3,0,0,1,1,0,0,0,0,9.9,9.7,9.8,9.9,9.8,9.7,
9.4,189,1150000,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square240/426161385.jpg?k=178b5f9317e5cfd359867e6fd5438badcedb14c5c69efa429b67b7fa2b5522b5&o=,3,0,1,1,0,1,0,0,1,9.5,9.4,9.4,9.4,9.3,9.5,9.8
8.7,92,823001,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square240/384607328.jpg?k=182f514ff9fd18737323161a81477e334c84699f7b9f335ed0d9b2b379f0cc7f&o=,3,1,1,1,0,1,0,1,1,9.0,8.8,8.6,8.7,8.5,9.2,9.7
7.7,100,917477,Quận Tân Bình,https://cf.bstatic.com/xdata/images/hotel/square240/481542218.jpg?k=881a59c7f5f7877215d0a31173d0b2ecfe8e2c8b3428a0ebda71107d0e56c1d1&o=,3,0,1,1,1,1,1,1,1,8.4,7.8,8.1,8.4,8.2,8.3,8.3
9.7,33,1013816,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square240/517919483.jpg?k=3cd4b4092b2fe36e64b4171043adbf0c7ab994f273857b0f032fd32a091d0c2a&o=,3,1,0,1,1,1,0,0,0,9.5,9.6,9.7,9.7,9.7,9.7,
8.4,42,1026000,Quận Bình Thạnh,https://cf.bstatic.com/xdata/images/hotel/square240/288295284.jpg?k=9e57f4b87ad8f6884a7ef00e5f09a781070ee2225b466cdc0bef685b021d415a&o=,3,0,0,1,0,0,1,1,1,8.3,8.7,8.5,8.4,8.3,9.0,7.5
9.7,33,1035000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/536767007.jpg?k=f7f56b425a9648c557cf575051c958bab516272eaf66300c201db4c142a98f9c&o=,3,1,0,1,1,1,0,1,1,9.7,9.6,9.7,9.7,9.8,9.8,10.0
7.6,829,1041118,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/220047461.jpg?k=aa4b7abcb0e09c94dda1463e75027e2ec8cdd246f52b81062dfcb61a6a48d962&o=,3,1,1,1,1,0,1,1,0,8.4,7.4,7.6,7.8,8.0,9.2,7.5
9.1,618,1071000,Quận 1,https://cf.bstatic.com/xdata/images/hotel/square240/225833945.jpg?k=ccf6824e8a7c3fb92d21a3cde6b166a2a6aff39883909a4e3379caf6c3f3a461&o=,3,1,0,1,0,1,0,0,0,9.2,9.2,9.2,9.3,9.3,9.5,9.0
9.4,65,1072500,Quận 4,https://cf.bstatic.com/xdata/images/hotel/square240/501700519.jpg?k=ff10c828d1c91ee64e9934baa74f6e082675297a5a4390c5671d00aed2c9f8a7&o=,3,1,1,1,0,1,0,0,0,9.6,9.6,9.6,9.6,9.6,9.4,10.0
9.4,35,1100000,Quận 7,https://cf.bstatic.com/xdata/images/hotel/square240/500466751.jpg?k=6f4f32f9dba302fb318718bbca39092f83b51040a016d221d8410d3393c65dbc&o=,3,1,0,1,0,1,0,1,0,9.6,9.1,9.1,9.6,9.4,9.4,8.8
